startCpG,endCpG,chr_hg38,start_hg38,end_hg38,strand_hg38
68123,68130,chr1,2537311,2537463,+
69296,69300,chr1,2575801,2575921,+
69306,69311,chr1,2576217,2576309,+
69319,69325,chr1,2576730,2576885,+
74779,74795,chr1,2866345,2866586,+
79289,79308,chr1,3062255,3062597,+
79308,79334,chr1,3062684,3063082,+
79334,79357,chr1,3063095,3063310,+
79357,79378,chr1,3063377,3063616,+
79378,79422,chr1,3063635,3063936,+
79422,79438,chr1,3063943,3064108,+
79438,79450,chr1,3064110,3064331,+
81080,81084,chr1,3105743,3105765,+
81754,81761,chr1,3127208,3127296,+
81761,81768,chr1,3127380,3127539,+
82161,82165,chr1,3139995,3140014,+
83629,83638,chr1,3186405,3186487,+
83638,83646,chr1,3186506,3186632,+
83646,83657,chr1,3186640,3186788,+
83698,83708,chr1,3188393,3188507,+
83709,83725,chr1,3188520,3188689,+
84528,84533,chr1,3213971,3214017,+
84678,84685,chr1,3219068,3219193,+
84685,84698,chr1,3219260,3219521,+
84698,84704,chr1,3219563,3219675,+
84801,84805,chr1,3223267,3223292,+
84808,84812,chr1,3223338,3223383,+
85346,85357,chr1,3241006,3241123,+
86932,86941,chr1,3293346,3293505,+
87486,87492,chr1,3313686,3313740,+
87526,87539,chr1,3314959,3315359,+
88320,88327,chr1,3349256,3349360,+
88620,88624,chr1,3359717,3359782,+
88628,88635,chr1,3359895,3359972,+
88953,88957,chr1,3369962,3370031,+
88979,88985,chr1,3372494,3372664,+
89176,89184,chr1,3380578,3380827,+
90428,90433,chr1,3419455,3419558,+
91611,91620,chr1,3459796,3460030,+
91620,91631,chr1,3460080,3460332,+
93760,93770,chr1,3529447,3529719,+
93781,93786,chr1,3530093,3530174,+
94389,94401,chr1,3547354,3547648,+
95514,95528,chr1,3590458,3590659,+
95761,95767,chr1,3597491,3597673,+
98996,99002,chr1,3697932,3698015,+
99153,99158,chr1,3702767,3702782,+
104021,104026,chr1,3891145,3891330,+
125002,125007,chr1,5502423,5502485,+
125007,125011,chr1,5502551,5502689,+
132418,132424,chr1,5970973,5971179,+
133035,133042,chr1,5994724,5994890,+
133735,133751,chr1,6026924,6027623,+
133752,133759,chr1,6027712,6027838,+
133765,133777,chr1,6028347,6028619,+
134276,134287,chr1,6052797,6053224,+
140813,140822,chr1,6287438,6287686,+
141708,141712,chr1,6325568,6325775,+
141827,141838,chr1,6330343,6330699,+
142183,142190,chr1,6343819,6343999,+
142327,142333,chr1,6350520,6350668,+
142356,142362,chr1,6351975,6352054,+
142401,142405,chr1,6353728,6353898,+
142410,142417,chr1,6354161,6354396,+
142641,142646,chr1,6365259,6365492,+
142784,142788,chr1,6374150,6374227,+
143028,143034,chr1,6385552,6385672,+
143044,143051,chr1,6386087,6386235,+
143778,143782,chr1,6415073,6415090,+
144308,144313,chr1,6427916,6428004,+
144987,144997,chr1,6450341,6450593,+
145893,145900,chr1,6472052,6472391,+
146373,146378,chr1,6489250,6489393,+
147231,147238,chr1,6520248,6520482,+
148587,148592,chr1,6582183,6582241,+
148967,148972,chr1,6599894,6600001,+
149266,149272,chr1,6604299,6604540,+
149419,149423,chr1,6611760,6611939,+
152666,152670,chr1,6762240,6762404,+
153669,153674,chr1,6822839,6823058,+
153674,153678,chr1,6823213,6823306,+
153691,153695,chr1,6826143,6826433,+
159541,159545,chr1,7236198,7236235,+
159941,159946,chr1,7262978,7263086,+
159977,159982,chr1,7266170,7266286,+
162474,162480,chr1,7455347,7455576,+
162480,162493,chr1,7455621,7455837,+
163158,163163,chr1,7491475,7491570,+
164242,164246,chr1,7556010,7556164,+
164506,164511,chr1,7570362,7570475,+
164557,164563,chr1,7574415,7574557,+
164563,164571,chr1,7574614,7574706,+
164776,164780,chr1,7586342,7586369,+
165892,165897,chr1,7651025,7651053,+
172017,172021,chr1,8004666,8004771,+
172021,172030,chr1,8004792,8004980,+
172030,172038,chr1,8005073,8005455,+
172060,172067,chr1,8006293,8006756,+
172444,172452,chr1,8027261,8027362,+
172452,172463,chr1,8027411,8027706,+
172466,172471,chr1,8028235,8028469,+
172840,172844,chr1,8058542,8058708,+
173115,173121,chr1,8077339,8077486,+
173366,173373,chr1,8096258,8096464,+
173637,173642,chr1,8116780,8117109,+
173642,173647,chr1,8117205,8117439,+
174599,174603,chr1,8174525,8174679,+
174603,174607,chr1,8174977,8175053,+
174681,174686,chr1,8182107,8182277,+
174687,174692,chr1,8182419,8182658,+
176184,176188,chr1,8258762,8258867,+
177855,177860,chr1,8343506,8343621,+
177860,177871,chr1,8343638,8343720,+
177871,177880,chr1,8343727,8343885,+
178556,178560,chr1,8370545,8370686,+
178597,178607,chr1,8373565,8373833,+
178607,178611,chr1,8373881,8374008,+
178887,178893,chr1,8395246,8395348,+
179113,179117,chr1,8412691,8412925,+
179354,179358,chr1,8424951,8425000,+
179392,179398,chr1,8427799,8427919,+
180557,180561,chr1,8510201,8510392,+
181166,181171,chr1,8575021,8575313,+
181348,181354,chr1,8598152,8598264,+
182150,182158,chr1,8680753,8681065,+
183418,183422,chr1,8789743,8789842,+
184040,184045,chr1,8829303,8829350,+
184787,184792,chr1,8876746,8876791,+
184793,184797,chr1,8876866,8876906,+
185018,185022,chr1,8880768,8880837,+
186499,186504,chr1,8971203,8971405,+
186758,186765,chr1,8986265,8986505,+
187004,187008,chr1,9002023,9002114,+
187316,187322,chr1,9015678,9015879,+
188284,188288,chr1,9070517,9070680,+
188570,188576,chr1,9084975,9085216,+
188583,188588,chr1,9086214,9086351,+
189248,189253,chr1,9127402,9127465,+
189255,189260,chr1,9127624,9127863,+
189260,189266,chr1,9127904,9128021,+
189938,189946,chr1,9162042,9162257,+
190097,190101,chr1,9170851,9170896,+
191626,191631,chr1,9241933,9242049,+
191631,191636,chr1,9242123,9242197,+
191640,191646,chr1,9242774,9242909,+
193871,193880,chr1,9338902,9339087,+
194927,194938,chr1,9384995,9385199,+
195701,195707,chr1,9426383,9426480,+
195709,195714,chr1,9426551,9426690,+
195926,195930,chr1,9438856,9438892,+
196418,196422,chr1,9466867,9466908,+
196422,196427,chr1,9466943,9467119,+
197664,197668,chr1,9531249,9531332,+
198216,198220,chr1,9555397,9555628,+
200530,200538,chr1,9654247,9654351,+
201590,201598,chr1,9704793,9705003,+
203425,203429,chr1,9787821,9787981,+
203529,203535,chr1,9792602,9792728,+
203748,203757,chr1,9804673,9804983,+
203824,203828,chr1,9808601,9808692,+
204577,204586,chr1,9843084,9843314,+
205147,205157,chr1,9877986,9878302,+
205222,205227,chr1,9882422,9882498,+
205412,205417,chr1,9892700,9892845,+
205573,205577,chr1,9900341,9900409,+
208671,208676,chr1,10066798,10066901,+
209211,209216,chr1,10108205,10108435,+
215492,215500,chr1,10496118,10496238,+
215500,215504,chr1,10496306,10496352,+
215839,215844,chr1,10517376,10517729,+
215867,215871,chr1,10519239,10519445,+
215871,215875,chr1,10519465,10519586,+
215984,215991,chr1,10528779,10528910,+
217525,217529,chr1,10628854,10628966,+
217707,217715,chr1,10635044,10635421,+
217715,217724,chr1,10635543,10635661,+
217724,217732,chr1,10635690,10635860,+
217733,217755,chr1,10635918,10636327,+
217824,217842,chr1,10638635,10638821,+
217875,217883,chr1,10639019,10639045,+
218218,218225,chr1,10646652,10646760,+
218883,218888,chr1,10665973,10666038,+
218888,218893,chr1,10666054,10666168,+
219186,219197,chr1,10675078,10675373,+
219197,219208,chr1,10675386,10675768,+
219462,219469,chr1,10686079,10686342,+
219469,219475,chr1,10686360,10686585,+
219475,219480,chr1,10686599,10686703,+
219496,219503,chr1,10687276,10687609,+
219953,219961,chr1,10699438,10699818,+
220320,220332,chr1,10714426,10714691,+
220394,220405,chr1,10717352,10717824,+
220528,220533,chr1,10722874,10722977,+
220573,220580,chr1,10725164,10725262,+
220599,220612,chr1,10726445,10726646,+
220853,220861,chr1,10738021,10738280,+
220861,220869,chr1,10738310,10738433,+
220869,220874,chr1,10738541,10738703,+
221425,221429,chr1,10762135,10762297,+
221503,221509,chr1,10765456,10765514,+
221518,221524,chr1,10765804,10766002,+
221653,221657,chr1,10773308,10773345,+
221694,221705,chr1,10775007,10775229,+
221730,221736,chr1,10776554,10776771,+
221765,221771,chr1,10778523,10778618,+
221774,221780,chr1,10778754,10779012,+
221781,221785,chr1,10779136,10779240,+
221785,221800,chr1,10779360,10779528,+
221800,221809,chr1,10779599,10779812,+
221809,221814,chr1,10779814,10779998,+
222658,222666,chr1,10815629,10815954,+
224369,224381,chr1,10900448,10901047,+
224381,224403,chr1,10901062,10901590,+
224403,224407,chr1,10901655,10901702,+
225106,225112,chr1,10940033,10940154,+
225662,225667,chr1,10965063,10965207,+
225853,225859,chr1,10975865,10975971,+
230762,230766,chr1,11282227,11282375,+
231769,231774,chr1,11341881,11342031,+
235493,235500,chr1,11569765,11569829,+
238832,238836,chr1,11730403,11730720,+
239982,239989,chr1,11788697,11788867,+
240031,240035,chr1,11791178,11791240,+
242555,242563,chr1,11919008,11919157,+
243645,243649,chr1,11967874,11967985,+
246955,246959,chr1,12135723,12135906,+
247225,247229,chr1,12150687,12150788,+
247257,247261,chr1,12153449,12153520,+
248374,248383,chr1,12210654,12210953,+
248927,248931,chr1,12244650,12244881,+
250053,250058,chr1,12345458,12345937,+
250357,250361,chr1,12376495,12376711,+
250887,250895,chr1,12433486,12433708,+
251059,251065,chr1,12450568,12450706,+
251169,251173,chr1,12461396,12461690,+
251258,251263,chr1,12469511,12469637,+
251284,251293,chr1,12473065,12473423,+
251344,251353,chr1,12478084,12478296,+
251367,251371,chr1,12478858,12478892,+
251459,251466,chr1,12486554,12486707,+
251599,251603,chr1,12496793,12496818,+
252184,252190,chr1,12528384,12528613,+
252190,252198,chr1,12528658,12528861,+
252340,252348,chr1,12540232,12540383,+
252353,252362,chr1,12540442,12540592,+
252566,252572,chr1,12549675,12549787,+
252579,252588,chr1,12550074,12550178,+
253260,253269,chr1,12591390,12591634,+
253489,253494,chr1,12600389,12600551,+
253951,253958,chr1,12622028,12622234,+
253963,253972,chr1,12622549,12622832,+
253972,253976,chr1,12622860,12622958,+
254429,254434,chr1,12654844,12655002,+
268719,268726,chr1,13731019,13731138,+
268740,268744,chr1,13733124,13733480,+
269686,269692,chr1,13798952,13799114,+
269736,269741,chr1,13801470,13801618,+
269741,269748,chr1,13801744,13802011,+
271853,271857,chr1,13991083,13991251,+
273136,273145,chr1,14140835,14141084,+
273493,273498,chr1,14181409,14181522,+
277141,277145,chr1,14569345,14569392,+
277699,277705,chr1,14602258,14602393,+
278003,278008,chr1,14628179,14628307,+
278407,278414,chr1,14660917,14661060,+
279463,279467,chr1,14735952,14736074,+
279514,279523,chr1,14739539,14739836,+
279715,279723,chr1,14759174,14759345,+
281944,281948,chr1,14911370,14911500,+
282403,282413,chr1,14929558,14929776,+
282715,282723,chr1,14945742,14945888,+
282853,282857,chr1,14955517,14955688,+
283095,283100,chr1,14968579,14968687,+
286834,286842,chr1,15172919,15173243,+
286842,286850,chr1,15173250,15173377,+
286941,286946,chr1,15180288,15180441,+
286956,286960,chr1,15181461,15181528,+
286960,286965,chr1,15181567,15181661,+
287180,287186,chr1,15197184,15197476,+
287245,287251,chr1,15200917,15201104,+
287257,287261,chr1,15201689,15201784,+
287263,287267,chr1,15201910,15201997,+
287267,287275,chr1,15202013,15202341,+
287372,287377,chr1,15207808,15208096,+
287961,287966,chr1,15249096,15249378,+
288409,288416,chr1,15284623,15284887,+
289022,289029,chr1,15326649,15326848,+
289029,289038,chr1,15326898,15327014,+
289074,289080,chr1,15328444,15328680,+
289228,289232,chr1,15337686,15337782,+
289234,289240,chr1,15337889,15338013,+
289267,289271,chr1,15339589,15339919,+
289362,289371,chr1,15345967,15346148,+
289465,289469,chr1,15352180,15352349,+
289805,289809,chr1,15371092,15371251,+
290662,290672,chr1,15412990,15413120,+
290740,290748,chr1,15417165,15417427,+
290784,290791,chr1,15418856,15419092,+
290885,290890,chr1,15424172,15424534,+
290892,290898,chr1,15424567,15424723,+
293181,293185,chr1,15559229,15559384,+
293186,293192,chr1,15559529,15559647,+
293943,293949,chr1,15602510,15602717,+
294066,294070,chr1,15605880,15605947,+
295100,295104,chr1,15681114,15681143,+
295476,295481,chr1,15697099,15697243,+
295575,295582,chr1,15703363,15703618,+
296282,296286,chr1,15735412,15735575,+
296294,296303,chr1,15736127,15736263,+
296303,296307,chr1,15736366,15736421,+
296307,296311,chr1,15736443,15736494,+
297056,297060,chr1,15764389,15764453,+
297368,297372,chr1,15780644,15780732,+
297373,297377,chr1,15780987,15781042,+
297524,297533,chr1,15788222,15788447,+
297713,297717,chr1,15798054,15798253,+
297750,297755,chr1,15799861,15800000,+
297755,297761,chr1,15800003,15800236,+
298348,298359,chr1,15830860,15831038,+
300098,300105,chr1,15919436,15919622,+
300771,300777,chr1,15949284,15949402,+
300861,300867,chr1,15952825,15952911,+
301031,301035,chr1,15966432,15966557,+
301986,301996,chr1,16017992,16018165,+
303935,303940,chr1,16123077,16123176,+
304406,304410,chr1,16143466,16143563,+
304410,304417,chr1,16143601,16143830,+
304455,304459,chr1,16145776,16145821,+
304470,304482,chr1,16146107,16146297,+
304613,304629,chr1,16152930,16153297,+
304830,304837,chr1,16159000,16159315,+
305172,305178,chr1,16173250,16173423,+
305279,305291,chr1,16179182,16179532,+
305344,305354,chr1,16181742,16182207,+
305379,305383,chr1,16183295,16183358,+
305383,305387,chr1,16183385,16183429,+
305948,305953,chr1,16212252,16212519,+
307281,307285,chr1,16299262,16299354,+
307781,307785,chr1,16334950,16335002,+
308732,308736,chr1,16379471,16379540,+
312680,312685,chr1,16623865,16624016,+
312691,312696,chr1,16624312,16624364,+
312703,312707,chr1,16624669,16624690,+
315860,315865,chr1,16764970,16765242,+
315867,315873,chr1,16765426,16765489,+
315885,315895,chr1,16766004,16766186,+
318276,318294,chr1,16948275,16948524,+
318294,318300,chr1,16948550,16948843,+
318300,318304,chr1,16948866,16948931,+
318304,318311,chr1,16949173,16949323,+
325770,325775,chr1,17412248,17412478,+
326154,326161,chr1,17428286,17428647,+
328624,328630,chr1,17550940,17551019,+
328735,328741,chr1,17560021,17560258,+
328764,328769,chr1,17561659,17561918,+
328808,328812,chr1,17564794,17564969,+
329059,329063,chr1,17580529,17580684,+
329064,329073,chr1,17580696,17580894,+
329091,329095,chr1,17581988,17582236,+
329095,329100,chr1,17582505,17582615,+
340702,340709,chr1,18464478,18464734,+
341520,341524,chr1,18535815,18535866,+
348072,348083,chr1,18926510,18926942,+
348086,348096,chr1,18927194,18927379,+
348108,348113,chr1,18928104,18928238,+
348320,348324,chr1,18942082,18942207,+
348490,348496,chr1,18950977,18951121,+
348501,348506,chr1,18951551,18951747,+
348849,348854,chr1,18961966,18962319,+
349374,349382,chr1,19010526,19010991,+
349382,349387,chr1,19011038,19011075,+
350430,350438,chr1,19073398,19073609,+
350465,350472,chr1,19074722,19074814,+
350474,350480,chr1,19074969,19075072,+
350483,350491,chr1,19075471,19075625,+
350495,350503,chr1,19075892,19076221,+
350578,350584,chr1,19080060,19080522,+
350608,350612,chr1,19081747,19081779,+
350680,350689,chr1,19086195,19086344,+
351081,351085,chr1,19121310,19121388,+
353294,353312,chr1,19287551,19288316,+
354965,354969,chr1,19367771,19367795,+
354969,354973,chr1,19367853,19367997,+
355272,355278,chr1,19385976,19386165,+
355731,355736,chr1,19412727,19412903,+
355902,355906,chr1,19424775,19424912,+
355974,355980,chr1,19430703,19430765,+
356239,356243,chr1,19446120,19446245,+
356283,356288,chr1,19448962,19449028,+
356288,356295,chr1,19449135,19449310,+
358590,358594,chr1,19619707,19620452,+
359149,359157,chr1,19645819,19646046,+
359166,359172,chr1,19646460,19646746,+
360663,360668,chr1,19735630,19735837,+
360668,360674,chr1,19735965,19736147,+
360694,360699,chr1,19738190,19738384,+
361404,361409,chr1,19787045,19787236,+
361409,361413,chr1,19787238,19787347,+
361859,361866,chr1,19815117,19815346,+
361866,361872,chr1,19815563,19815853,+
364642,364651,chr1,20081122,20081288,+
366010,366014,chr1,20185375,20185478,+
369699,369703,chr1,20480353,20480401,+
370190,370194,chr1,20496404,20496538,+
372104,372109,chr1,20613945,20614103,+
380759,380763,chr1,21252053,21252339,+
380959,380968,chr1,21261706,21261925,+
380981,380987,chr1,21262497,21262729,+
381096,381101,chr1,21268468,21268660,+
381101,381106,chr1,21268692,21268764,+
381260,381265,chr1,21278403,21278544,+
381379,381385,chr1,21284532,21284784,+
381391,381395,chr1,21285260,21285605,+
381579,381584,chr1,21292978,21293090,+
381956,381963,chr1,21317422,21317540,+
382018,382022,chr1,21319717,21319826,+
382185,382189,chr1,21329284,21329391,+
382353,382357,chr1,21338671,21338871,+
382358,382362,chr1,21339218,21339338,+
382413,382420,chr1,21342647,21342779,+
387266,387273,chr1,21614702,21614984,+
387273,387277,chr1,21614989,21615229,+
387501,387510,chr1,21623702,21623942,+
387676,387680,chr1,21634058,21634265,+
387680,387685,chr1,21634297,21634372,+
387685,387692,chr1,21634598,21634715,+
389060,389064,chr1,21721580,21721732,+
390133,390140,chr1,21788290,21788441,+
392582,392590,chr1,21896775,21897059,+
392722,392726,chr1,21904552,21904699,+
392729,392735,chr1,21904792,21905046,+
392760,392765,chr1,21906356,21906429,+
392849,392854,chr1,21911814,21912044,+
392892,392909,chr1,21914996,21915346,+
393118,393123,chr1,21927656,21927819,+
393188,393194,chr1,21931401,21931541,+
393253,393257,chr1,21934874,21934897,+
393290,393294,chr1,21936426,21936468,+
394030,394036,chr1,21974739,21974997,+
394462,394466,chr1,21999669,21999782,+
398324,398333,chr1,22239488,22239725,+
398333,398337,chr1,22239745,22239875,+
398639,398651,chr1,22258000,22258136,+
400816,400824,chr1,22414273,22414598,+
406090,406095,chr1,22751230,22751318,+
406423,406431,chr1,22774046,22774271,+
407003,407008,chr1,22814800,22814893,+
407419,407425,chr1,22846702,22846898,+
407995,407999,chr1,22885409,22885435,+
411455,411460,chr1,23169782,23170156,+
414529,414534,chr1,23377236,23377302,+
414534,414540,chr1,23377435,23377739,+
416024,416031,chr1,23479028,23479448,+
416886,416890,chr1,23528074,23528156,+
417510,417514,chr1,23556292,23556353,+
417520,417524,chr1,23557831,23557913,+
417692,417698,chr1,23564621,23564813,+
418635,418642,chr1,23627032,23627296,+
424241,424249,chr1,23957167,23957505,+
425266,425271,chr1,24018743,24018787,+
425276,425281,chr1,24019355,24019431,+
426875,426883,chr1,24120556,24120710,+
427784,427789,chr1,24186405,24186585,+
428140,428146,chr1,24203604,24203704,+
428585,428589,chr1,24236765,24236818,+
428589,428593,chr1,24237021,24237072,+
434336,434341,chr1,24645214,24645401,+
435198,435202,chr1,24705966,24706064,+
435494,435499,chr1,24722757,24722860,+
436051,436059,chr1,24746815,24746940,+
437628,437634,chr1,24862122,24862235,+
437801,437805,chr1,24870777,24870789,+
437866,437870,chr1,24874928,24874968,+
437870,437877,chr1,24874994,24875127,+
439029,439056,chr1,24931131,24931496,+
439056,439069,chr1,24931526,24931656,+
439069,439079,chr1,24931690,24931746,+
439082,439089,chr1,24931813,24931900,+
439685,439702,chr1,24964995,24965402,+
441712,441720,chr1,25107129,25107354,+
442845,442854,chr1,25194627,25194789,+
442854,442860,chr1,25194813,25195017,+
447156,447166,chr1,25484183,25484310,+
447399,447406,chr1,25506606,25506689,+
447406,447411,chr1,25506723,25506751,+
448397,448413,chr1,25566861,25567296,+
448433,448439,chr1,25568398,25568645,+
448439,448444,chr1,25568665,25568729,+
448546,448551,chr1,25573644,25573705,+
448553,448557,chr1,25573795,25573976,+
448557,448561,chr1,25574017,25574144,+
449748,449753,chr1,25642788,25643021,+
449753,449757,chr1,25643039,25643144,+
450460,450465,chr1,25695164,25695355,+
451100,451104,chr1,25743675,25743710,+
451491,451495,chr1,25766678,25766760,+
451495,451501,chr1,25766889,25767004,+
451564,451569,chr1,25771376,25771428,+
451609,451613,chr1,25773557,25774010,+
451979,451983,chr1,25796417,25796458,+
453252,453257,chr1,25867255,25867441,+
453658,453666,chr1,25890590,25890778,+
453689,453693,chr1,25892554,25892624,+
457213,457222,chr1,26114298,26114463,+
458395,458400,chr1,26177662,26177796,+
458401,458408,chr1,26177915,26178058,+
460166,460172,chr1,26287320,26287751,+
460187,460193,chr1,26289132,26289315,+
460201,460208,chr1,26289802,26289991,+
460735,460739,chr1,26319552,26319777,+
461338,461351,chr1,26354032,26354331,+
461730,461735,chr1,26375203,26375394,+
463076,463085,chr1,26468976,26469109,+
464389,464398,chr1,26531151,26531503,+
464401,464410,chr1,26531706,26531998,+
464417,464421,chr1,26532554,26532726,+
464540,464551,chr1,26542112,26542514,+
464598,464612,chr1,26545804,26546048,+
467735,467740,chr1,26741071,26741267,+
469592,469598,chr1,26849483,26849654,+
469788,469823,chr1,26863076,26863744,+
469823,469831,chr1,26863755,26863905,+
470845,470856,chr1,26913771,26913988,+
470859,470863,chr1,26914203,26914695,+
471892,471897,chr1,26970898,26970957,+
472427,472431,chr1,26995094,26995304,+
472662,472667,chr1,27008397,27008497,+
472674,472679,chr1,27009061,27009197,+
472681,472690,chr1,27009798,27010499,+
472692,472700,chr1,27011094,27011180,+
473119,473126,chr1,27031206,27031263,+
473193,473198,chr1,27033265,27033624,+
474698,474703,chr1,27115918,27116126,+
475072,475077,chr1,27144381,27144504,+
475077,475081,chr1,27144734,27144838,+
475089,475094,chr1,27145982,27146174,+
476971,476975,chr1,27267286,27267391,+
478149,478158,chr1,27342754,27342903,+
478403,478411,chr1,27350463,27350543,+
478455,478473,chr1,27351272,27351442,+
478473,478482,chr1,27351451,27351576,+
478595,478602,chr1,27356733,27356855,+
479075,479080,chr1,27369966,27370046,+
479719,479727,chr1,27403467,27403596,+
481203,481216,chr1,27504472,27504818,+
481286,481293,chr1,27509535,27510224,+
481427,481434,chr1,27518383,27518668,+
481444,481455,chr1,27519367,27519538,+
481455,481461,chr1,27519616,27519806,+
481461,481466,chr1,27519849,27519985,+
481506,481512,chr1,27522360,27522532,+
481512,481519,chr1,27522581,27522667,+
481846,481856,chr1,27536788,27537093,+
481938,481944,chr1,27542489,27542624,+
481985,481989,chr1,27545355,27545537,+
482654,482666,chr1,27571628,27571901,+
482705,482711,chr1,27574900,27575021,+
482713,482723,chr1,27575125,27575240,+
484738,484750,chr1,27686618,27686876,+
486042,486046,chr1,27789778,27789959,+
487744,487749,chr1,27887249,27887518,+
489346,489350,chr1,27992411,27992537,+
491410,491415,chr1,28169280,28169468,+
496035,496039,chr1,28453933,28453958,+
508229,508235,chr1,29156935,29157073,+
518642,518647,chr1,30089252,30089302,+
525664,525670,chr1,30749789,30749903,+
525734,525746,chr1,30753685,30754019,+
525774,525778,chr1,30756275,30756409,+
525778,525783,chr1,30756604,30756817,+
525783,525788,chr1,30756934,30757126,+
525788,525798,chr1,30757181,30757402,+
525798,525812,chr1,30757456,30757755,+
527532,527540,chr1,30869118,30869460,+
527654,527659,chr1,30877617,30877807,+
528271,528282,chr1,30910102,30910270,+
528282,528288,chr1,30910286,30910385,+
534608,534615,chr1,31390125,31390356,+
535052,535058,chr1,31414577,31414933,+
535072,535077,chr1,31416516,31416641,+
536280,536292,chr1,31536011,31536339,+
536802,536806,chr1,31575570,31575727,+
536840,536863,chr1,31577155,31577451,+
537120,537126,chr1,31589385,31589439,+
537217,537222,chr1,31596898,31597079,+
537678,537684,chr1,31627804,31627907,+
537685,537690,chr1,31628023,31628223,+
538729,538734,chr1,31696124,31696555,+
539478,539484,chr1,31736593,31736621,+
539812,539816,chr1,31753695,31753782,+
539818,539825,chr1,31754283,31754396,+
541533,541537,chr1,31848641,31848683,+
541953,541960,chr1,31881620,31881888,+
542085,542090,chr1,31889373,31889493,+
542156,542161,chr1,31897856,31897967,+
542884,542889,chr1,31944235,31944298,+
546904,546919,chr1,32205074,32205258,+
547538,547546,chr1,32239985,32240080,+
547852,547862,chr1,32251172,32251289,+
549434,549442,chr1,32338484,32338645,+
549614,549619,chr1,32349202,32349333,+
